01/01/2022	8,50%
01/07/2020	8,00%
01/01/2020	9,50%
01/07/2019	9,25%
01/01/2019	8,75%
01/07/2018	8,50%
01/01/2018	8,50%
01/07/2017	8,50%
01/01/2017	8,50%
01/07/2016	8,50%
01/01/2016	8,75%
01/07/2015	9,00%
01/01/2015	9,25%
01/07/2014	9,50%
01/01/2014	9,50%
01/07/2013	9,50%
01/01/2013	8,50%
01/07/2012	8,50%
01/01/2012	8,75%
01/07/2011	9,25%
01/01/2011	9,00%
01/07/2010	9,00%
01/01/2010	8,75%
01/07/2009	8,25%
01/01/2009	10,00%
01/07/2008	12,75%
01/01/2008	12,25%
01/07/2007	11,50%
01/01/2007	10,50%
01/07/2006	9,75%
01/01/2006	9,25%
01/07/2005	9,00%
01/01/2005	8,75%
01/07/2004	8,75%
01/01/2004	9,25%
01/01/2003	12,00%
01/01/2002	12,00%
01/01/2001	12,00%
01/01/2000	12,00%
01/01/1999	12,00%
01/01/1998	12,00%
01/01/1997	12,00%
01/01/1996	12,00%
01/01/1995	12,00%
01/01/1994	12,00%
01/01/1993	18,00%
01/01/1992	18,00%
01/01/1991	18,00%
01/01/1990	18,00%
01/01/1989	18,00%
01/01/1988	18,00%
01/01/1987	18,00%
01/02/1986	18,00%
01/01/1986	15,00%
01/01/1985	15,00%
01/01/1984	15,00%
01/01/1983	15,00%
01/01/1982	15,00%
01/01/1981	15,00%
01/12/1980	15,00%
01/01/1980	10,00%
01/01/1979	10,00%
01/01/1978	10,00%
